Address,Price,Bedrooms,Bathrooms,Description
9991 Birch St,345000,3,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
9719 Maple Blvd,465000,4,3,Modern downtown condo with floor-to-ceiling windows and skyline views.
7808 Magnolia Blvd,1385000,1,1.5,Waterfront property with a private dock and panoramic lake views.
7241 Chestnut St,425000,2,3,Newly built townhouse with an open floor plan and attached two-car garage.
5360 Oak Ave,450000,3,2,Newly built townhouse with an open floor plan and attached two-car garage.
4822 Pine Ct,215000,4,2.5,Compact studio apartment walking distance to shops and public transit.
4235 Willow St,2360000,1,2,"Luxury estate with private pool, home theater, and a three-car garage."
8989 Chestnut Ln,370000,5,1,Rural farmhouse on several acres with a barn and mature fruit trees.
8267 Chestnut St,1680000,4,2,"Luxury estate with private pool, home theater, and a three-car garage."
4819 Chestnut Blvd,135000,4,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
4020 Cedar Dr,375000,1,3,Newly built townhouse with an open floor plan and attached two-car garage.
1627 Elm St,485000,4,2.5,Historic brownstone with original woodwork and updated kitchen.
8265 Birch Ct,375000,4,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
7836 Elm Ln,1180000,5,2.5,Waterfront property with a private dock and panoramic lake views.
9920 Magnolia Blvd,570000,3,1.5,Historic brownstone with original woodwork and updated kitchen.
5668 Magnolia Dr,300000,3,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
9716 Sycamore Blvd,1920000,4,2,"Luxury estate with private pool, home theater, and a three-car garage."
8035 Willow Dr,385000,3,3,Newly built townhouse with an open floor plan and attached two-car garage.
5372 Elm Blvd,825000,3,2.5,Historic brownstone with original woodwork and updated kitchen.
6830 Maple Dr,185000,3,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
6425 Cedar Ln,565000,5,2.5,Newly built townhouse with an open floor plan and attached two-car garage.
5539 Oak Ln,1520000,4,3,"Luxury estate with private pool, home theater, and a three-car garage."
6817 Cedar St,610000,1,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
6612 Oak Dr,590000,3,2,Newly built townhouse with an open floor plan and attached two-car garage.
8964 Maple Ct,720000,3,2.5,Historic brownstone with original woodwork and updated kitchen.
3827 Oak Ln,470000,4,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
5006 Maple St,380000,3,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
5973 Willow Ln,275000,1,2,Compact studio apartment walking distance to shops and public transit.
9372 Cedar Ave,355000,4,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
4045 Chestnut Ct,305000,4,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
7629 Birch Blvd,350000,3,2,Cozy suburban family home with a fenced backyard near top-rated schools.
2688 Oak Ln,2390000,3,3,"Luxury estate with private pool, home theater, and a three-car garage."
4197 Chestnut Dr,240000,3,2.5,Compact studio apartment walking distance to shops and public transit.
1847 Elm Ln,155000,5,2.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
4937 Maple Blvd,625000,4,2,Gated community home with a shared clubhouse and resort-style pool.
903 Sycamore Blvd,295000,1,3,Rural farmhouse on several acres with a barn and mature fruit trees.
5872 Elm Blvd,605000,3,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
1691 Maple Dr,190000,3,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
2253 Oak Dr,350000,4,2,Newly built townhouse with an open floor plan and attached two-car garage.
3389 Cedar Ct,265000,3,1.5,Compact studio apartment walking distance to shops and public transit.
2795 Birch Ln,230000,4,2,Compact studio apartment walking distance to shops and public transit.
1986 Chestnut St,1605000,5,2,Waterfront property with a private dock and panoramic lake views.
9231 Willow St,350000,5,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
2124 Chestnut Dr,210000,3,3,Rural farmhouse on several acres with a barn and mature fruit trees.
1875 Elm Ln,1395000,3,2,Waterfront property with a private dock and panoramic lake views.
