Review ID,Product,Rating,Review Text
R-1000,Noise Cancelling Earbuds,1,The Noise Cancelling Earbuds stopped working after about a week of normal use.
R-1001,Wireless Headphones,3,"The Wireless Headphones is fine but nothing special, does the basic job."
R-1002,Running Shoes,5,"This Running Shoes exceeded my expectations, I use it every single day now."
R-1003,Robot Vacuum,1,The Robot Vacuum stopped working after about a week of normal use.
R-1004,Portable Charger,2,Battery life on the Portable Charger is much shorter than advertised.
R-1005,Yoga Mat,5,"Super comfortable and lightweight, love this Yoga Mat."
R-1006,Backpack,2,The Backpack took over two weeks to arrive and the box was damaged.
R-1007,Wireless Headphones,5,"Great value for the price, this Wireless Headphones works exactly as described."
R-1008,Bluetooth Speaker,5,"This Bluetooth Speaker exceeded my expectations, I use it every single day now."
R-1009,Cast Iron Skillet,3,Instructions for the Cast Iron Skillet were confusing and poorly translated.
R-1010,Wireless Headphones,2,Battery life on the Wireless Headphones is much shorter than advertised.
R-1011,Bluetooth Speaker,2,Battery life on the Bluetooth Speaker is much shorter than advertised.
R-1012,Backpack,5,"This Backpack exceeded my expectations, I use it every single day now."
R-1013,Coffee Grinder,5,"Super comfortable and lightweight, love this Coffee Grinder."
R-1014,Leather Wallet,5,Shipping was fast and the Leather Wallet arrived well packaged.
R-1015,Office Chair,1,I contacted support about my Office Chair three times and never got a response.
R-1016,Ceramic Mug Set,4,Return process for the Ceramic Mug Set was smooth and refund was quick.
R-1017,Smart Watch,3,"The Smart Watch is fine but nothing special, does the basic job."
R-1018,Robot Vacuum,2,"Quality feels cheap, not what I expected from the photos of this Robot Vacuum."
R-1019,Office Chair,4,"Exactly as described, the Office Chair matches the listing perfectly."
R-1020,Standing Desk Converter,5,"Great value for the price, this Standing Desk Converter works exactly as described."
R-1021,Desk Lamp,1,The Desk Lamp stopped working after about a week of normal use.
R-1022,Phone Case,2,The Phone Case arrived with a missing part and I had to request a replacement.
R-1023,Laptop Stand,3,"The Laptop Stand is fine but nothing special, does the basic job."
R-1024,Stainless Steel Water Bottle,2,The color of the Stainless Steel Water Bottle was different from what was shown online.
R-1025,Weighted Blanket,1,The Weighted Blanket stopped working after about a week of normal use.
R-1026,Desk Lamp,5,"Great value for the price, this Desk Lamp works exactly as described."
R-1027,Weighted Blanket,3,Packaging was excessive and wasteful for such a small Weighted Blanket.
R-1028,Noise Cancelling Earbuds,3,Instructions for the Noise Cancelling Earbuds were confusing and poorly translated.
R-1029,Phone Case,5,"Super comfortable and lightweight, love this Phone Case."
R-1030,Bluetooth Speaker,5,"Great value for the price, this Bluetooth Speaker works exactly as described."
R-1031,Stainless Steel Water Bottle,5,"This Stainless Steel Water Bottle exceeded my expectations, I use it every single day now."
R-1032,Office Chair,3,Packaging was excessive and wasteful for such a small Office Chair.
R-1033,Yoga Mat,5,"This Yoga Mat exceeded my expectations, I use it every single day now."
R-1034,Standing Desk Converter,5,"Fantastic build quality, this Standing Desk Converter feels sturdy and well made."
R-1035,Leather Wallet,2,The color of the Leather Wallet was different from what was shown online.
R-1036,Noise Cancelling Earbuds,2,The Noise Cancelling Earbuds arrived with a missing part and I had to request a replacement.
R-1037,Electric Kettle,2,The Electric Kettle arrived with a missing part and I had to request a replacement.
R-1038,Phone Case,2,"Quality feels cheap, not what I expected from the photos of this Phone Case."
R-1039,Portable Charger,3,"The Portable Charger is fine but nothing special, does the basic job."
R-1040,Ceramic Mug Set,5,"Great value for the price, this Ceramic Mug Set works exactly as described."
R-1041,Laptop Stand,1,I contacted support about my Laptop Stand three times and never got a response.
R-1042,Weighted Blanket,5,"This Weighted Blanket exceeded my expectations, I use it every single day now."
R-1043,Electric Kettle,2,The color of the Electric Kettle was different from what was shown online.
R-1044,Desk Lamp,3,"The Desk Lamp is fine but nothing special, does the basic job."
R-1045,Noise Cancelling Earbuds,2,Battery life on the Noise Cancelling Earbuds is much shorter than advertised.
R-1046,Running Shoes,4,"Exactly as described, the Running Shoes matches the listing perfectly."
R-1047,Office Chair,2,The Office Chair took over two weeks to arrive and the box was damaged.
R-1048,Running Shoes,2,The Running Shoes took over two weeks to arrive and the box was damaged.
R-1049,Smart Watch,5,"Fantastic build quality, this Smart Watch feels sturdy and well made."
R-1050,Leather Wallet,5,"Great value for the price, this Leather Wallet works exactly as described."
R-1051,Bluetooth Speaker,5,"Super comfortable and lightweight, love this Bluetooth Speaker."
R-1052,Ceramic Mug Set,4,"Exactly as described, the Ceramic Mug Set matches the listing perfectly."
R-1053,Bluetooth Speaker,4,"Works great, easy to set up, would recommend this Bluetooth Speaker to anyone."
R-1054,Desk Lamp,2,The color of the Desk Lamp was different from what was shown online.
R-1055,Robot Vacuum,3,"The Robot Vacuum is fine but nothing special, does the basic job."
R-1056,Robot Vacuum,5,"This Robot Vacuum exceeded my expectations, I use it every single day now."
R-1057,Hiking Boots,2,Battery life on the Hiking Boots is much shorter than advertised.
R-1058,Weighted Blanket,3,"The Weighted Blanket is fine but nothing special, does the basic job."
R-1059,Hiking Boots,5,"Super comfortable and lightweight, love this Hiking Boots."
R-1060,Backpack,5,"Super comfortable and lightweight, love this Backpack."
